lane_id,candidate_id,style_code,colour_code,model_name_candidate,scope_key,exclusive_objective,required_outputs,priority,status,non_overlap_rule
W003-L01,4a5974ce-454c-5798-87de-1081a48b8344,M3600,04C,twin tipped polo shirt,M3600::04C,"Resolve this style-colour candidate only: context/detail image, six forensic macros, exact material, country/factory, bounded date/season and label-system evidence.","GEN_CONTEXT_DETAIL; MACRO_BRAND_LABEL_FRONT; MACRO_BRAND_LABEL_BACK_OR_STITCHING; MACRO_CARE_LABEL_FRONT; MACRO_CARE_LABEL_REVERSE; MACRO_STYLE_SIZE_COLOUR_CODE; MACRO_FACTORY_OR_CONSTRUCTION; material assertions; country/factory assertions; dating assertions; evidence hashes",HIGH,PLANNED_NOT_EXECUTED,No other W003 lane may research or promote this exact style_code + colour_code scope key.
W003-L02,b4ffaf59-8830-59f1-8cde-67ab0db473b6,M3600,81C,polo tipped brique,M3600::81C,"Resolve this style-colour candidate only: context/detail image, six forensic macros, exact material, country/factory, bounded date/season and label-system evidence.","GEN_CONTEXT_DETAIL; MACRO_BRAND_LABEL_FRONT; MACRO_BRAND_LABEL_BACK_OR_STITCHING; MACRO_CARE_LABEL_FRONT; MACRO_CARE_LABEL_REVERSE; MACRO_STYLE_SIZE_COLOUR_CODE; MACRO_FACTORY_OR_CONSTRUCTION; material assertions; country/factory assertions; dating assertions; evidence hashes",HIGH,PLANNED_NOT_EXECUTED,No other W003 lane may research or promote this exact style_code + colour_code scope key.
W003-L03,2da1659d-093e-5ffe-93fd-8574d36c8499,M3600,85B,twin tipped polo shirt,M3600::85B,"Resolve this style-colour candidate only: context/detail image, six forensic macros, exact material, country/factory, bounded date/season and label-system evidence.","GEN_CONTEXT_DETAIL; MACRO_BRAND_LABEL_FRONT; MACRO_BRAND_LABEL_BACK_OR_STITCHING; MACRO_CARE_LABEL_FRONT; MACRO_CARE_LABEL_REVERSE; MACRO_STYLE_SIZE_COLOUR_CODE; MACRO_FACTORY_OR_CONSTRUCTION; material assertions; country/factory assertions; dating assertions; evidence hashes",HIGH,PLANNED_NOT_EXECUTED,No other W003 lane may research or promote this exact style_code + colour_code scope key.
W003-L04,bb0de2fe-37a8-5a22-885a-06c4e4754127,M3600,87B,twin tipped polo shirt,M3600::87B,"Resolve this style-colour candidate only: context/detail image, six forensic macros, exact material, country/factory, bounded date/season and label-system evidence.","GEN_CONTEXT_DETAIL; MACRO_BRAND_LABEL_FRONT; MACRO_BRAND_LABEL_BACK_OR_STITCHING; MACRO_CARE_LABEL_FRONT; MACRO_CARE_LABEL_REVERSE; MACRO_STYLE_SIZE_COLOUR_CODE; MACRO_FACTORY_OR_CONSTRUCTION; material assertions; country/factory assertions; dating assertions; evidence hashes",HIGH,PLANNED_NOT_EXECUTED,No other W003 lane may research or promote this exact style_code + colour_code scope key.
W003-L05,422af11d-6d11-5a72-aa5d-fb2f62c42138,M3600,T50,polo,M3600::T50,"Resolve this style-colour candidate only: context/detail image, six forensic macros, exact material, country/factory, bounded date/season and label-system evidence.","GEN_CONTEXT_DETAIL; MACRO_BRAND_LABEL_FRONT; MACRO_BRAND_LABEL_BACK_OR_STITCHING; MACRO_CARE_LABEL_FRONT; MACRO_CARE_LABEL_REVERSE; MACRO_STYLE_SIZE_COLOUR_CODE; MACRO_FACTORY_OR_CONSTRUCTION; material assertions; country/factory assertions; dating assertions; evidence hashes",HIGH,PLANNED_NOT_EXECUTED,No other W003 lane may research or promote this exact style_code + colour_code scope key.
W003-L06,57e68222-2d53-57db-984b-3128e81b9e64,M3600,T60,polo 3xl,M3600::T60,"Resolve this style-colour candidate only: context/detail image, six forensic macros, exact material, country/factory, bounded date/season and label-system evidence.","GEN_CONTEXT_DETAIL; MACRO_BRAND_LABEL_FRONT; MACRO_BRAND_LABEL_BACK_OR_STITCHING; MACRO_CARE_LABEL_FRONT; MACRO_CARE_LABEL_REVERSE; MACRO_STYLE_SIZE_COLOUR_CODE; MACRO_FACTORY_OR_CONSTRUCTION; material assertions; country/factory assertions; dating assertions; evidence hashes",HIGH,PLANNED_NOT_EXECUTED,No other W003 lane may research or promote this exact style_code + colour_code scope key.
W003-L07,8761090b-bbb1-5602-aeca-b0f6923fee08,M3600,U98,polo,M3600::U98,"Resolve this style-colour candidate only: context/detail image, six forensic macros, exact material, country/factory, bounded date/season and label-system evidence.","GEN_CONTEXT_DETAIL; MACRO_BRAND_LABEL_FRONT; MACRO_BRAND_LABEL_BACK_OR_STITCHING; MACRO_CARE_LABEL_FRONT; MACRO_CARE_LABEL_REVERSE; MACRO_STYLE_SIZE_COLOUR_CODE; MACRO_FACTORY_OR_CONSTRUCTION; material assertions; country/factory assertions; dating assertions; evidence hashes",HIGH,PLANNED_NOT_EXECUTED,No other W003 lane may research or promote this exact style_code + colour_code scope key.
W003-L08,b5f630e8-de30-52d8-a0fd-e7b9eb23f9ab,M3600,350,twin tipped polo shirt,M3600::350,"Resolve this style-colour candidate only: context/detail image, six forensic macros, exact material, country/factory, bounded date/season and label-system evidence.","GEN_CONTEXT_DETAIL; MACRO_BRAND_LABEL_FRONT; MACRO_BRAND_LABEL_BACK_OR_STITCHING; MACRO_CARE_LABEL_FRONT; MACRO_CARE_LABEL_REVERSE; MACRO_STYLE_SIZE_COLOUR_CODE; MACRO_FACTORY_OR_CONSTRUCTION; material assertions; country/factory assertions; dating assertions; evidence hashes",HIGH,PLANNED_NOT_EXECUTED,No other W003 lane may research or promote this exact style_code + colour_code scope key.
W003-L09,ab399936-f252-5f13-8337-269f9058bf13,J2321,28A,crinkle harrington jacket,J2321::28A,"Resolve this style-colour candidate only: context/detail image, six forensic macros, exact material, country/factory, bounded date/season and label-system evidence.","GEN_CONTEXT_DETAIL; MACRO_BRAND_LABEL_FRONT; MACRO_BRAND_LABEL_BACK_OR_STITCHING; MACRO_CARE_LABEL_FRONT; MACRO_CARE_LABEL_REVERSE; MACRO_STYLE_SIZE_COLOUR_CODE; MACRO_FACTORY_OR_CONSTRUCTION; material assertions; country/factory assertions; dating assertions; evidence hashes",HIGH,PLANNED_NOT_EXECUTED,No other W003 lane may research or promote this exact style_code + colour_code scope key.
W003-L10,e4c000ee-e173-59ce-a5c0-73eb74f8783e,J2332,102,argyle track jacket,J2332::102,"Resolve this style-colour candidate only: context/detail image, six forensic macros, exact material, country/factory, bounded date/season and label-system evidence.","GEN_CONTEXT_DETAIL; MACRO_BRAND_LABEL_FRONT; MACRO_BRAND_LABEL_BACK_OR_STITCHING; MACRO_CARE_LABEL_FRONT; MACRO_CARE_LABEL_REVERSE; MACRO_STYLE_SIZE_COLOUR_CODE; MACRO_FACTORY_OR_CONSTRUCTION; material assertions; country/factory assertions; dating assertions; evidence hashes",HIGH,PLANNED_NOT_EXECUTED,No other W003 lane may research or promote this exact style_code + colour_code scope key.
